Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeApplication(),,,,2021-02-01 13:39:32,2021-02-01 13:39:32,"0,127s",PASSED
,,,,,,,
Test Cases/TC_I_1_7,,,,2021-02-01 13:39:32,2021-02-01 13:40:38,"1m - 5,562s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:39:33,2021-02-01 13:39:43,"10,279s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:39:43,2021-02-01 13:39:44,"1,143s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:39:44,2021-02-01 13:39:47,"2,713s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:39:47,2021-02-01 13:39:48,"1,069s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:39:48,2021-02-01 13:39:51,"2,865s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:39:51,2021-02-01 13:39:52,"1,170s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""0123456789000"")",,,,2021-02-01 13:39:52,2021-02-01 13:39:56,"3,575s",PASSED
"click(findWindowsObject(""PrezzoMagazzino""))",,,,2021-02-01 13:39:56,2021-02-01 13:39:57,"1,216s",PASSED
"setText(findWindowsObject(""PrezzoMagazzinoText""), ""0"")",,,,2021-02-01 13:39:57,2021-02-01 13:39:59,"2,486s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:39:59,2021-02-01 13:40:01,"1,174s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:40:01,2021-02-01 13:40:37,"36,729s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:40:37,2021-02-01 13:40:38,"0,512s",PASSED
"assert text == ""Inserire un prezzo valido""",,,,2021-02-01 13:40:38,2021-02-01 13:40:38,"0,000s",PASSED
closeApplication(),,,,2021-02-01 13:40:38,2021-02-01 13:40:38,"0,151s",PASSED
,,,,,,,
Test Cases/TC_I_1_8,,,,2021-02-01 13:40:38,2021-02-01 13:41:44,"1m - 5,784s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:40:39,2021-02-01 13:40:49,"10,340s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:40:49,2021-02-01 13:40:51,"1,513s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:40:51,2021-02-01 13:40:53,"2,829s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:40:53,2021-02-01 13:40:54,"1,112s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:40:54,2021-02-01 13:40:57,"2,650s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:40:57,2021-02-01 13:40:58,"1,134s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""0123456789000"")",,,,2021-02-01 13:40:58,2021-02-01 13:41:02,"3,312s",PASSED
"click(findWindowsObject(""PrezzoMagazzino""))",,,,2021-02-01 13:41:02,2021-02-01 13:41:03,"1,137s",PASSED
"setText(findWindowsObject(""PrezzoMagazzinoText""), ""30"")",,,,2021-02-01 13:41:03,2021-02-01 13:41:05,"2,578s",PASSED
"click(findWindowsObject(""TipologiaMagazzino""))",,,,2021-02-01 13:41:05,2021-02-01 13:41:06,"1,169s",PASSED
"setText(findWindowsObject(""TipologiaMagazzinoText""), ""x"")",,,,2021-02-01 13:41:06,2021-02-01 13:41:09,"2,531s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:41:09,2021-02-01 13:41:10,"1,177s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:41:10,2021-02-01 13:41:43,"32,883s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:41:43,2021-02-01 13:41:44,"0,547s",PASSED
"assert text == ""Inserire una tipologia valida""",,,,2021-02-01 13:41:44,2021-02-01 13:41:44,"0,001s",PASSED
closeApplication(),,,,2021-02-01 13:41:44,2021-02-01 13:41:44,"0,136s",PASSED
,,,,,,,
Test Cases/TC_I_1_9,,,,2021-02-01 13:41:44,2021-02-01 13:42:19,"35,254s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:41:44,2021-02-01 13:41:55,"10,622s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:41:55,2021-02-01 13:41:56,"1,215s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:41:56,2021-02-01 13:41:59,"2,732s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:41:59,2021-02-01 13:42:00,"1,150s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:42:00,2021-02-01 13:42:03,"2,622s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:42:03,2021-02-01 13:42:04,"1,137s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""0123456789000"")",,,,2021-02-01 13:42:04,2021-02-01 13:42:07,"3,330s",PASSED
"click(findWindowsObject(""PrezzoMagazzino""))",,,,2021-02-01 13:42:07,2021-02-01 13:42:08,"1,107s",PASSED
"setText(findWindowsObject(""PrezzoMagazzinoText""), ""30"")",,,,2021-02-01 13:42:08,2021-02-01 13:42:11,"2,699s",PASSED
"click(findWindowsObject(""TipologiaMagazzino""))",,,,2021-02-01 13:42:11,2021-02-01 13:42:12,"1,102s",PASSED
"setText(findWindowsObject(""TipologiaMagazzinoText""), ""Pesce"")",,,,2021-02-01 13:42:12,2021-02-01 13:42:15,"2,786s",PASSED
"click(findWindowsObject(""DimMedioMagazzino""))",,,,2021-02-01 13:42:15,2021-02-01 13:42:16,"1,170s",PASSED
"click(findWindowsObject(""ScaMediaMagazzino""))",,,,2021-02-01 13:42:16,2021-02-01 13:42:17,"1,124s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:42:17,2021-02-01 13:42:18,"1,157s",PASSED
"text = getText(findWindowsObject(""InserisciNuovoProdottoRiepilogoLabel""))",,,,2021-02-01 13:42:18,2021-02-01 13:42:19,"0,575s",PASSED
"assert text == ""Inserisci nuovo prodotto - Riepilogo""",,,,2021-02-01 13:42:19,2021-02-01 13:42:19,"0,000s",PASSED
closeApplication(),,,,2021-02-01 13:42:19,2021-02-01 13:42:19,"0,165s",PASSED
